-131.7,758.765,-12.1109
278,3.24494,15.8934,0.632024
279,7.85237,44.1934,-2.12206
280,3.24501,15.8521,-0.867941
283,6.01688,46.9066,-1.96457
284,4.08504,15.8809,-0.59789
287,2.4249,15.8139,-0.387982
288,0.324937,3.75611,-1.81773
289,6.38913,48.3169,-0.885761
290,3.29491,15.8123,-0.487902
291,0.639236,6.3356,-1.80994
292,1.73448,9.47366,-1.95256
293,9.31333,50.8827,-0.0477176
294,4.13495,15.8512,-0.20786
295,1.71858,11.9337,-1.89469
296,2.99299,14.5816,-1.91686
297,1.69493,15.8555,0.0619161
298,3.31501,15.8926,-0.10797
299,2.43468,15.6027,-1.7178
300,4.09482,15.7001,-1.53773
301,10.1706,55.3424,1.2485
302,4.12489,15.8315,0.162156
303,2.45472,15.6632,-1.11785
304,3.26481,15.7017,-1.32781
305,1.67468,15.7258,0.432027
306,3.28483,15.803,0.252105
307,1.67476,15.6946,-1.02795
308,4.12496,15.8105,-0.977826
309,11.2496,60.8226,3.54385
310,3.30496,15.9033,0.63202
311,2.47491,15.7935,-0.76796
312,3.30501,15.852,-0.867936
314,17.1281,72.085,5.98464
315,6.19709,47.0363,-1.96467
316,4.14504,15.8808,-0.597885
319,2.47487,15.7938,-0.38796
320,0.344937,3.75608,-1.81773
321,6.72095,49.4063,-0.906674
322,3.35491,15.8122,-0.487897
323,0.659236,6.33557,-1.80994
324,1.75446,9.46362,-1.95255
325,9.47315,50.7725,-0.0476077
326,4.18492,15.8311,-0.207838
327,1.76856,11.9237,-1.89467
328,3.04299,14.5815,-1.91686
329,7.14562,52.2766,0.25088
330,3.37501,15.8925,-0.107964
331,2.49467,15.6026,-1.71779
332,4.15482,15.7,-1.53773
333,10.5722,56.2718,1.26773
334,4.18489,15.8314,0.162162
335,2.50472,15.6631,-1.11784
336,3.31479,15.6916,-1.3278
337,1.72465,15.7057,0.432049
338,13.8247,57.7661,0.966732
339,1.71475,15.6845,-1.02793
340,4.18497,15.8204,-0.977829
341,11.4696,60.8623,3.54384
342,3.37496,15.9032,0.632027
343,2.53496,15.8234,-0.767981
344,3.36503,15.8619,-0.867939
346,17.3982,72.1245,5.99463
347,6.36714,47.066,-1.96468
348,14.14,48.7632,-1.81545
351,2.5349,15.8137,-0.387972
352,0.354937,3.75606,-1.81773
353,6.88083,49.3361,-0.906599
354,3.41493,15.8221,-0.4879
355,0.679236,6.33553,-1.80994
356,1.80446,9.46353,-1.96254
357,10.0564,52.7115,-0.0492336
358,4.24494,15.841,-0.207841
359,1.80854,11.9136,-1.89466
360,3.09299,14.5814,-1.91686
361,1.81497,15.8753,0.0519098
362,3.43503,15.9024,-0.0979674
363,2.55466,15.5925,-1.71778
364,4.21484,15.7099,-1.53773
365,10.8226,56.5214,1.27754
366,4.24489,15.8313,0.162167
367,2.56474,15.673,-1.12785
368,3.37479,15.6915,-1.33779
369,1.79472,15.7456,0.43202
370,3.40485,15.8128,0.252108
371,1.78475,15.6844,-1.02793
372,4.24496,15.8103,-0.977815
373,11.8207,61.5317,3.58329
374,3.42493,15.8831,0.632049
375,2.59499,15.8433,-0.767992
376,3.41503,15.8618,-0.867934
379,6.53714,47.0657,-1.97466
380,4.26504,15.8806,-0.597874
383,2.59489,15.8036,-0.387958
384,0.382332,3.76631,-1.82765
385,6.92586,48.4364,-0.885421
386,12.5806,51.2565,-1.57731
387,0.706566,6.33579,-1.81983
388,1.83172,9.45383,-1.9524
389,9.86978,50.8623,-0.0472249
390,4.32209,15.8512,-0.207663
391,1.85575,11.9038,-1.89451
392,3.15012,14.5517,-1.91666
393,1.87207,15.8555,0.0621004
394,3.50217,15.9027,-0.107785
395,2.61181,15.5928,-1.7176
396,4.28201,15.7202,-1.53755
397,2.64195,15.7945,0.342226
398,4.32204,15.8416,0.162346
399,2.6319,15.6832,-1.12768
400,3.44196,15.7017,-1.32762
401,1.86186,15.7458,0.432194
402,3.48205,15.853,0.252256
403,1.8519,15.6846,-1.03776
404,4.31212,15.8206,-0.977638
405,12.2082,62.2316,3.63323
406,3.50211,15.9133,0.642206
407,9.06348,46.9117,-2.26391
408,11.3729,46.5377,-2.54337
411,6.74397,47.2258,-1.9744
412,4.34221,15.9009,-0.597704
415,2.66208,15.8338,-0.387806
417,7.32825,49.8857,-0.916628
418,3.54207,15.8223,-0.487712
419,0.726532,6.31576,-1.80981
420,1.8717,9.44376,-1.95239
421,10.0497,50.812,-0.0471645
422,4.39214,15.8811,-0.207682
423,1.89575,11.9038,-1.8945
424,3.20012,14.5516,-1.91665
425,1.93207,15.8554,0.0621062
426,3.56217,15.9026,-0.107779
427,2.67181,15.5926,-1.7276
428,4.34199,15.71,-1.54754
429,2.7019,15.7644,0.342258
430,4.38206,15.8515,0.162343
431,2.6919,15.6831,-1.12767
432,3.50197,15.7116,-1.32762
433,1.91187,15.7558,0.43219
434,3.54202,15.8329,0.252279
435,1.90191,15.6945,-1.03776
436,4.37212,15.8205,-0.977632
437,12.418,62.1413,3.62333
438,3.5621,15.9032,0.642221
439,9.26373,47.0614,-2.27402
440,11.9052,47.9267,-2.62451
442,18.8181,74.453,6.20335
443,6.914,47.2455,-1.9844
444,4.3922,15.8908,-0.59769
447,2.70198,15.7737,-0.38775
448,0.412349,3.77625,-1.83766
449,7.50837,49.9554,-0.916671
450,3.59207,15.8222,-0.487707
451,0.746465,6.27574,-1.79977
452,1.9117,9.44369,-1.96239
453,2.79213,15.8839,-0.0178365
454,4.44208,15.841,-0.207643
455,1.94577,11.9137,-1.89451
456,3.2601,14.5415,-1.91664
457,1.99211,15.8753,0.0620948
458,3.62225,15.9525,-0.107816
459,2.73181,15.5925,-1.72759
460,4.40199,15.7099,-1.54753
461,11.4893,56.7408,1.28788
462,4.42201,15.8214,0.162373
463,2.7419,15.683,-1.12767
464,3.56196,15.7015,-1.32761
465,1.97184,15.7357,0.432213
466,3.592,15.8228,0.252292
467,1.9619,15.6844,-1.03774
468,4.43212,15.8204,-0.977626
469,12.6884,62.3508,3.64317
470,3.61205,15.8731,0.642251
471,8.96006,44.842,-2.16214
472,12.0651,47.8565,-2.62443
474,19.1282,74.5525,6.2133
475,7.09412,47.3152,-1.98444
476,4.46225,15.9207,-0.597709
479,2.772,15.7836,-0.387752
480,0.422348,3.77625,-1.82766
482,3.65209,15.8321,-0.48771
483,0.766448,6.26571,-1.79976
484,1.94169,9.43364,-1.96237
485,2.85216,15.9038,-0.0178478
486,4.50209,15.8509,-0.207645
487,1.98575,11.9036,-1.89449
488,3.31007,14.5214,-1.91662
489,2.05211,15.8752,0.0621006
490,3.68219,15.9124,-0.107776
491,2.78183,15.6025,-1.7276
492,4.46199,15.7099,-1.54753
493,2.82188,15.7542,0.342278
494,4.49201,15.8213,0.162379
495,2.80194,15.7029,-1.12768
496,3.62196,15.7014,-1.3276
497,2.02184,15.7356,0.432218
498,3.66204,15.8427,0.252282
499,2.0119,15.6843,-1.03774
500,4.49212,15.8203,-0.97762
